Month,BranchID,Region,Product,Deposits_EURm,Loans_EURm,NIM_pct,InterestIncome_EURk,FeeIncome_EURk,Revenue_EURk,Opex_EURk,NPA_pct,NewCustomers,ActiveCustomers,CSAT
2024-01-01,1001,North,Retail Banking,42.15,33.80,3.02,85.06,105.38,190.44,101.93,1.87,74,7587,4.31
2024-02-01,1001,North,Retail Banking,42.98,34.11,2.94,83.57,120.34,203.91,112.15,2.05,68,7587,4.18
2024-03-01,1001,North,Retail Banking,43.52,34.77,3.18,92.14,87.04,179.18,96.71,1.72,81,7587,4.42
2024-01-01,1001,North,Corporate Banking,71.30,58.42,2.71,131.92,142.60,274.52,150.99,2.44,42,13683,4.05
2024-02-01,1001,North,Corporate Banking,72.11,59.03,2.88,141.67,216.33,358.00,182.58,1.98,39,13683,4.27
2024-03-01,1001,North,Corporate Banking,73.44,60.15,2.55,127.82,146.88,274.70,161.07,2.63,45,13683,3.92
2024-01-01,1004,South,Retail Banking,38.72,30.90,3.41,87.81,116.16,203.97,110.14,1.55,66,6969,4.48
2024-02-01,1004,South,Retail Banking,39.55,31.44,3.29,86.21,79.10,165.31,88.22,1.69,71,6969,4.36
2024-03-01,1004,South,Retail Banking,40.18,32.02,3.12,83.25,160.72,243.97,133.44,1.44,79,6969,4.51
2024-01-01,1004,South,Wealth Management,55.60,44.18,3.05,112.29,166.80,279.09,145.13,1.28,33,10008,4.62
2024-02-01,1004,South,Wealth Management,56.42,45.01,2.98,111.78,112.84,224.62,127.03,1.41,29,10008,4.55
2024-03-01,1004,South,Wealth Management,57.31,45.88,3.22,123.11,229.24,352.35,190.27,1.19,36,10008,4.68
2024-01-01,1010,West,SME Lending,29.44,24.10,3.36,67.48,88.32,155.80,86.72,2.31,52,5299,4.09
2024-02-01,1010,West,SME Lending,30.02,24.55,3.19,65.26,60.04,125.30,70.29,2.55,48,5299,3.97
2024-03-01,1010,West,SME Lending,30.61,25.02,3.48,72.56,122.44,195.00,105.30,2.18,55,5299,4.21
2024-01-01,1010,West,Cards & Payments,16.20,12.88,2.92,31.34,48.60,79.94,44.37,1.96,88,2916,4.14
2024-02-01,1010,West,Cards & Payments,16.55,13.11,2.78,30.37,66.20,96.57,52.65,2.12,92,2916,4.02
2024-03-01,1010,West,Cards & Payments,16.88,13.40,3.05,34.06,50.64,84.70,47.43,1.83,95,2916,4.29
2024-01-01,1013,East,Retail Banking,35.10,27.95,3.24,75.47,105.30,180.77,99.42,2.08,61,6318,4.22
2024-02-01,1013,East,Retail Banking,35.62,28.30,3.11,73.34,71.24,144.58,79.52,2.27,58,6318,4.10
2024-03-01,1013,East,Retail Banking,36.19,28.74,3.39,81.19,144.76,225.95,124.27,1.91,64,6318,4.35
2024-01-01,1013,East,Corporate Banking,58.90,47.66,2.66,105.65,117.80,223.45,127.37,2.72,31,11304,3.88
2024-02-01,1013,East,Corporate Banking,59.71,48.29,2.81,113.08,179.13,292.21,152.95,2.49,28,11304,4.11
2024-03-01,1013,East,Corporate Banking,60.55,48.97,2.59,105.69,121.10,226.79,133.81,2.88,34,11304,3.79
